Katarina Line,MV Admiral,56,2,CRODLXADMI
Adriatic Service Travel,MS Adriatic Queen,56,2,CRODLXADQU
Katarina Line,MV Adriatic Sun,56,2,CRODLXADSU
Ambassador Travel,MS Ambassador,56,2,CRODLXAMBA
Zantium Travel,MV Antaris,56,2,CRODLXANTA
Katarina Line,MV Aquamarin,56,2,CRODLXAQUA
Kompas,MS Arca,56,2,CRODLXARCA
Katarina Line,MS Aurelia,56,2,CRODLXAURE
Katarina Line,MV Avangard,56,2,CRODLXAVAN
Katarina Line,MV Ave Maria,56,2,CRODLXAVEM
Adriatic Service Travel,MS Bella,56,2,CRODLXBELLA
Katarina Line,MV Black Swan,56,2,CRODLXBLAC
Kompas,MS Desire,56,2,CRODLXDESI
Zantium Travel,MV Diamond,56,2,CRODLXDIAM
Kompas,MS Equator,56,2,CRODLXEQUA
Katarina Line,MV Fantazija,56,2,CRODLXFANT
-,MS Freedom,56,2,CRODLXFREE
Katarina Line,MV Futura,56,2,CRODLXFUTU
Katarina Line,MV Infinity,56,2,CRODLXINFI
Ambassador Travel,MS Kapetan Bota,56,2,CRODLXKAPE
,MS Karizma,56,2,CRODLXKARI
Katarina Line,MV Katarina,56,2,CRODLXKATA
-,MS Kleopatra,56,2,CRODLXKLEO
Ambassador Travel,MS Mama Marija,56,2,CRODLXMAMA
Katarina Line,MV Maritimo,56,2,CRODLXMARI
Katarina Line,MV Markan,56,2,CRODLXMARK
Kompas,MV My Way,56,2,CRODLXMYWA
Kompas,MV My Wish,56,2,CRODLXMYWI
Zantium Travel,MS New Star,56,2,CRODLXNEWS
Kompas,MS Prestige,56,2,CRODLXPRES
Katarina Line,MV Riva,56,2,CRODLXRIVA
Katarina Line,MV San Antonio,56,2,CRODLXSANA
Ambassador Travel,MS Sea Swallow,56,2,CRODLXSEAS
Kompas,MS Stella Maris,56,2,CRODLXSTEL
Ambassador Travel,MS Summer,56,2,CRODLXSUMM
Unforgettable 56,MV Bellissima,56,2,CROSIGBELL
Unforgettable 56,MV Memories,56,2,CROSIGMEMO
Katarina Line,MS Amalia,56,2,CROSUPAMAL
Zantium Travel,MV Aurora,56,2,CROSUPAURO
Katarina Line,MV Dream,56,2,CROSUPDREA
Kompas,MS Eden,56,2,CROSUPEDEN
Katarina Line,MS Lupus Mare,56,2,CROSUPLUPU
Katarina Line,MS Majestic,56,2,CROSUPMAJE
Katarina Line,MV Moonlight,56,2,CROSUPMOON
Katarina Line,MV Nautilus,56,2,CROSUPNAU
Katarina Line,MS Paradis,56,2,CROSUPPARA
Kompas,MS Princess Aloha,56,2,CROSUPPRIN
Katarina Line,MS Seagull,56,2,CROSUPSEAG
Katarina Line,MS Spalato,56,2,CROSUPSPAL
Ambassador Travel,MS Splendid,56,2,CROSUPSPLE
Zantium Travel,MV Ban,56,2,CRODLXBAN
Zantium Travel,MV Cristal,56,2,CRODLXCRIS
Zantium Travel,MS Lastavica,56,2,CRODLXLAST
Zantium Travel,MS President,56,2,CRODLXPRES
Zantium Travel,MV Symphony,56,2,CRODLXSYMP
Unforgettable 56,MV Phoenix,56,2,CRDLXPHEON
Katarina Line,MS Adriatic Sky,56,2,CRODLXASKY
Katarina Line,MV Rhapsody,56,2,CRODLXRHAP
Ambassador Travel,MS Invictus,56,2,CRODLXINVI
Ambassador Travel,MS San Spirito,56,2,CRODLXSANS
Ambassador Travel,MS Swallow,56,2,CRODLXSWAL
Ambassador Travel,MS Mama Marija II,56,2,CRODLXMAM2
Ambassador Travel,MS Oscar,56,2,CRODLXOSCA
Adriatic Service Travel,MS Adriatic King,56,2,CRODLXAKING
Posh Affairs Charter,Lady Gita,56,2,CROYACHGITA
Posh Affairs Charter,Agape Rose,56,2,CROYACHROSE
Posh Affairs Charter,Son de Mar,56,2,CROYACHSOND
Posh Affairs Charter,Alba,56,2,CROYACHALBA
Posh Affairs Charter,Vito,56,2,CROYACHVITO
Master Charter,Anima Maris,56,2,CROYACHANIM
Master Charter,Corsario,56,2,CROYACHCORS
Master Charter,Dalmatino,56,2,CROYACHDALM
Master Charter,Love Story,56,2,CROYACHLOVE
Master Charter,Rara Avis,56,2,CROYACHRARA
Master Charter,Morning Star,56,2,CROYACHMORN
Master Charter,Allure,56,2,CROYACHALLU
Catamaran Sailing,Grey Goose Catamaran,56,2,CROSAILGREY
